size,branch_length,id,clustering_distance
23,0.6467,0-6467_Phy0048AN8_PENDI,0.29053989658067647
17,0.5979,0-5979_Phy003QCG6_PENDI,0.1907693950263285
21,0.3611,0-3611_Phy003QBO6_PENDI,0.26241567458526427
10,0.6024,0-6024_Phy003Q9QV_PENDI,0.40458839036946614
24,0.4843,0-4843_Phy0042UCY_PENDI,0.20418115456336539
23,0.4502,0-4502_Phy003Q8L5_PENDI,0.1427843395185886
15,0.6047,0-6047_Phy003QCEL_PENDI,0.4488516164439632
16,0.6862,0-6862_Phy0048AW7_PENDI,0.3180973299402374
13,0.7599,0-7599_Phy003VMY1_PENDI,0.623390564844815
13,0.7427,0-7427_Phy0042UBM_PENDI,0.3419731117884718
15,0.5716,0-5716_Phy003Q70T_PENDI,0.5552026062381988
14,0.3995,0-3995_Phy0045P6V_PENDI,0.41419199585871647
15,0.6648,0-6648_Phy003Q9Y1_PENDI,0.3909086826405551
13,0.5765,0-5765_Phy003VMGE_PENDI,0.17729221987313704
14,0.4151,0-4151_Phy003QBS4_PENDI,0.5616592872724394
16,0.6225,0-6225_Phy003VMDX_PENDI,0.4464313347058204
25,0.3202,0-3202_Phy003QAL1_PENDI,0.19621490454216717
10,0.4916,0-4916_Phy003QAXZ_PENDI,0.8876427430928607
11,0.6190,0-6190_Phy0042S18_PENDI,0.2343082264523082
14,0.7240,0-7240_Phy003Q83Q_PENDI,0.17545227479532666
15,0.4122,0-4122_Phy003QCB4_PENDI,0.4539320441945488
12,0.7519,0-7519_Phy003Q9MR_PENDI,0.3889524668222808
11,0.6820,0-6820_Phy003QA8L_PENDI,0.49996443357042275
