size,branch_length,id,clustering_distance
28,0.5717,0-5717_Phy008O4V3_PUCGT,0.35630122684093146
19,0.4828,0-4828_Phy008NYXH_PUCGT,0.5968120298602019
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.35434075346539984
18,0.2334,0-2334_Phy008O82G_PUCGT,0.42459477563440173
29,0.1870,0-1870_Phy008O0TK_PUCGT,0.37082431908704905
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.4072006097312978
11,0.7606,0-7606_Phy008O65F_PUCGT,0.7006432580581452
30,0.2422,0-2422_Phy008O85K_PUCGT,0.3538991251120821
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.6773691127529646
13,0.1408,0-1408_Phy008O938_PUCGT,1.0
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.5733353664658756
31,0.1652,0-1652_Phy008O3QR_PUCGT,0.46348982674883654
12,0.3834,0-3834_Phy008O7GI_PUCGT,0.7406155089747025
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.6853750135111711
10,0.5719,0-5719_Phy008O53D_PUCGT,0.6987112952070613
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.5450894386504377
12,0.7111,0-7111_Phy008O623_PUCGT,0.6205173332211604
11,0.3292,0-3292_Phy008O7OF_PUCGT,0.8619566913738594
15,0.2336,0-2336_Phy008O30Z_PUCGT,0.6924012474405153
31,0.2621,0-2621_Phy008O7OW_PUCGT,0.3328013442519292
11,0.1187,0-1187_Phy008NZS8_PUCGT,0.35405486534906494
39,0.5240,0-5240_Phy008O862_PUCGT,0.35150625783610123
38,0.1767,0-1767_Phy008O30H_PUCGT,0.3362222330702527
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.49434861794625695
19,0.3511,0-3511_Phy008NZVJ_PUCGT,0.526200341215268
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.32920719345789495
10,0.2660,0-2660_Phy008O7K1_PUCGT,0.6601311247497589
22,0.3650,0-3650_Phy008O2C9_PUCGT,0.48231636000304123
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.4145170005748322
11,0.7643,0-7643_Phy008NYUN_PUCGT,0.6533499182708329
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.7925802719239228
20,0.1976,0-1976_Phy008O6FV_PUCGT,0.5443527632786505
13,0.4876,0-4876_Phy008NZ6D_PUCGT,0.5983606435203295
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.6176871402178201
13,0.6918,0-6918_Phy008O2GX_PUCGT,0.7192666013210395
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.4609487051122091
36,0.7447,0-7447_Phy008NZJ8_PUCGT,0.3439737738084888
26,0.5423,0-5423_Phy008O5XS_PUCGT,0.49401218782386636
19,0.1374,0-1374_Phy008O5P7_PUCGT,0.5038334198080646
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.6887491035798567
