size,branch_length,id,clustering_distance
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.2851000114620894
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.2346078663669685
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.4807427134726511
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.4426277710763684
14,0.5653,0-5653_Phy00021SM_BOVIN,0.21545849561230257
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.34690396718974537
20,0.7272,0-7272_Phy001QA35_BOVIN,0.16190918733807258
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.21659371843166209
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.32431768855842136
16,0.6966,0-6966_Phy00021K1_BOVIN,0.15064676339503036
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.6235046867834115
25,0.4163,0-4163_Phy0001U32_BOVIN,0.2401035019512402
15,0.4632,0-4632_Phy0001US7_BOVIN,0.42688774947938535
14,0.7586,0-7586_Phy00023HT_BOVIN,0.1607400769629681
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.2531956767564215
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.24611230589191924
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.40099343467751003
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.30774519902677644
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.13596508351569103
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.2827097837716447
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.3839250772751215
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.4253924849655032
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.270555014261992
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.3183106588750645
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.5751562883238813
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.20458605003361174
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.2956814403968899
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.23002917254157884
