size,branch_length,id,clustering_distance
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.284958596351472
12,0.5002,0-5002_Phy000D14B_SCHPO,0.534331456501145
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.21400076067659457
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.33696520203775204
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.21404151141828465
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.28354041542103914
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.16705851673067074
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.3233427112879691
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.19331286492071342
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.2311549558654471
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.3231567186085045
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.27613427016067793
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.16128555728336025
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.17625870990358528
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.31999391936844734
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.1922915536126799
20,0.7486,0-7486_Phy000D13P_SCHPO,0.25794807220811256
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.32717213618678453
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.3303424275173088
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.2538732431356986
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.4008313560996265
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.27710727489111453
