size,branch_length,id,RF
30,0.2576,0-2576_Phy0042T98_PENDI,44.44
34,0.2645,0-2645_Phy003Q8P2_PENDI,35.48
29,0.2712,0-2712_Phy003Q6UV_PENDI,26.92
28,0.2859,0-2859_Phy003QA9A_PENDI,56.0
32,0.2912,0-2912_Phy003QBA0_PENDI,34.48
25,0.3202,0-3202_Phy003QAL1_PENDI,27.27
28,0.3312,0-3312_Phy003Q83V_PENDI,52.0
29,0.3552,0-3552_Phy0042SL3_PENDI,38.46
21,0.3611,0-3611_Phy003QBO6_PENDI,50.0
14,0.3995,0-3995_Phy0045P6V_PENDI,81.82
28,0.4062,0-4062_Phy0042T5Q_PENDI,56.0
15,0.4122,0-4122_Phy003QCB4_PENDI,50.0
14,0.4151,0-4151_Phy003QBS4_PENDI,81.82
29,0.4226,0-4226_Phy0042T4N_PENDI,38.46
23,0.4502,0-4502_Phy003Q8L5_PENDI,30.0
30,0.4642,0-4642_Phy0048AWY_PENDI,29.63
24,0.4843,0-4843_Phy0042UCY_PENDI,42.86
10,0.4916,0-4916_Phy003QAXZ_PENDI,100.0
32,0.5077,0-5077_Phy0042U2P_PENDI,20.69
30,0.5266,0-5266_Phy0045PS5_PENDI,48.15
34,0.5453,0-5453_Phy003VNLF_PENDI,64.52
15,0.5716,0-5716_Phy003Q70T_PENDI,83.33
13,0.5765,0-5765_Phy003VMGE_PENDI,20.0
17,0.5979,0-5979_Phy003QCG6_PENDI,28.57
10,0.6024,0-6024_Phy003Q9QV_PENDI,71.43
15,0.6047,0-6047_Phy003QCEL_PENDI,66.67
11,0.6190,0-6190_Phy0042S18_PENDI,75.0
16,0.6225,0-6225_Phy003VMDX_PENDI,69.23
30,0.6364,0-6364_Phy0045Q6A_PENDI,25.93
23,0.6467,0-6467_Phy0048AN8_PENDI,25.0
27,0.6482,0-6482_Phy0042TO8_PENDI,50.0
15,0.6648,0-6648_Phy003Q9Y1_PENDI,91.67
32,0.6693,0-6693_Phy0042SPT_PENDI,44.83
11,0.6820,0-6820_Phy003QA8L_PENDI,75.0
16,0.6862,0-6862_Phy0048AW7_PENDI,76.92
34,0.7173,0-7173_Phy003QAVC_PENDI,38.71
14,0.7240,0-7240_Phy003Q83Q_PENDI,63.64
13,0.7427,0-7427_Phy0042UBM_PENDI,60.0
12,0.7519,0-7519_Phy003Q9MR_PENDI,33.33
13,0.7599,0-7599_Phy003VMY1_PENDI,80.0
