size,branch_length,id,clustering_distance
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.6536870026096864
36,0.2536,0-2536_Phy0001SML_BOVIN,0.5571994370624729
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.6452375544321021
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.5486772904538555
26,0.2876,0-2876_Phy0001SON_BOVIN,0.5916504747033262
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.6504587459067002
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.6381419735518157
34,0.3081,0-3081_Phy0001STS_BOVIN,0.5977392314629856
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.6810731549390545
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.6622751047633679
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.7871714682145067
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.5887677126429371
38,0.3653,0-3653_Phy0001SNJ_BOVIN,0.5756452066066646
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.5920553324604159
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.5949377717204716
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.6428418631064254
25,0.4163,0-4163_Phy0001U32_BOVIN,0.4943678062615998
36,0.4262,0-4262_Phy0001SY5_BOVIN,0.5256119342357024
37,0.4597,0-4597_Phy0001SLG_BOVIN,0.5393296911724765
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.693453111449633
15,0.4632,0-4632_Phy0001US7_BOVIN,0.7128945580480703
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.5759295639103352
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.41500020270341975
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.6135835362561763
35,0.5561,0-5561_Phy0001WXP_BOVIN,0.5214287676858296
14,0.5653,0-5653_Phy00021SM_BOVIN,0.5936639722212627
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.7587390867433447
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.6021683724263983
30,0.5937,0-5937_Phy00026Z0_BOVIN,0.6482727981404347
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.7597072156194415
33,0.6264,0-6264_Phy00025XU_BOVIN,0.5841254899224353
33,0.6440,0-6440_Phy00020HM_BOVIN,0.34517956054186283
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.44544505515870314
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.5620666770196536
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.7356768829902094
16,0.6966,0-6966_Phy00021K1_BOVIN,0.5823991950286261
27,0.7179,0-7179_Phy00024CK_BOVIN,0.6770400945813209
20,0.7272,0-7272_Phy001QA35_BOVIN,0.5567464616368132
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.5214283561300622
14,0.7586,0-7586_Phy00023HT_BOVIN,0.6586945512110173
