size,branch_length,id,clustering_distance
19,0.1374,0-1374_Phy008O5P7_PUCGT,0.4657822710306251
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.5608659369392396
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.5332232113257289
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.4107989274819176
13,0.6918,0-6918_Phy008O2GX_PUCGT,0.3102389951724809
11,0.7606,0-7606_Phy008O65F_PUCGT,0.5828468382516223
10,0.5719,0-5719_Phy008O53D_PUCGT,0.4945787979762235
11,0.7643,0-7643_Phy008NYUN_PUCGT,0.6052184613095728
13,0.1408,0-1408_Phy008O938_PUCGT,0.7118257435448094
10,0.2660,0-2660_Phy008O7K1_PUCGT,0.7207946572916668
20,0.1976,0-1976_Phy008O6FV_PUCGT,0.4971693979342774
12,0.3834,0-3834_Phy008O7GI_PUCGT,0.5694944499907251
18,0.2334,0-2334_Phy008O82G_PUCGT,0.6291266859005088
11,0.1187,0-1187_Phy008NZS8_PUCGT,0.45968995678210367
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.45751515304197876
11,0.3292,0-3292_Phy008O7OF_PUCGT,0.6274236660180071
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.7989926699392202
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.5210701029161278
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.5921144701070571
15,0.2336,0-2336_Phy008O30Z_PUCGT,0.7097714185934781
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.6006953251684233
13,0.4876,0-4876_Phy008NZ6D_PUCGT,0.5304539268947576
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.5547161947508548
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.4741800449492751
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.3986405125779522
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.4632904144472618
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.32379454530702245
12,0.7111,0-7111_Phy008O623_PUCGT,0.6264323504221303
22,0.3650,0-3650_Phy008O2C9_PUCGT,0.6225806680139896
19,0.4828,0-4828_Phy008NYXH_PUCGT,0.6476647605451222
19,0.3511,0-3511_Phy008NZVJ_PUCGT,0.47255029800274184
