size,branch_length,id,clustering_distance
16,0.1457,0-1457_Phy0007YUQ_HUMAN,0.8446237943074039
34,0.1835,0-1835_Phy0008G06_HUMAN,0.8138328424485752
12,0.2074,0-2074_Phy0008CR1_HUMAN,1.0
29,0.2125,0-2125_Phy0007ZV6_HUMAN,0.8242223345131845
37,0.2140,0-2140_Phy0007YN0_HUMAN,0.8141655005384866
17,0.2250,0-2250_Phy0007XGT_HUMAN,0.8068285856229213
40,0.2487,0-2487_Phy0008FYG_HUMAN,0.7781306300473058
17,0.2567,0-2567_Phy00081A5_HUMAN,0.7009143781867255
36,0.2615,0-2615_Phy0008BM0_HUMAN,0.7967744555128753
23,0.2801,0-2801_Phy00086HI_HUMAN,0.7208925006306823
17,0.2823,0-2823_Phy00088LQ_HUMAN,0.8072306126062295
36,0.2841,0-2841_Phy000839J_HUMAN,0.8089123346760153
33,0.3055,0-3055_Phy000875B_HUMAN,0.8488551031441516
38,0.3060,0-3060_Phy0007ZNC_HUMAN,0.921657669966071
30,0.3195,0-3195_Phy0007XME_HUMAN,0.7508629443531688
26,0.3237,0-3237_Phy0007XCN_HUMAN,0.9152884490427411
34,0.3537,0-3537_Phy0008HMK_HUMAN,0.848586332688107
24,0.3630,0-3630_Phy0008IWH_HUMAN,0.7905593284054293
33,0.3731,0-3731_Phy0008JIM_HUMAN,0.785325176034903
14,0.5280,0-5280_Phy00087KY_HUMAN,0.6987596128341951
