size,branch_length,id,RF
13,0.6283,0-6283_Phy000D0SM_SCHPO,40.0
12,0.5002,0-5002_Phy000D14B_SCHPO,55.56
25,0.4533,0-4533_Phy000D0UP_SCHPO,40.91
15,0.6213,0-6213_Phy000D0P9_SCHPO,33.33
22,0.3205,0-3205_Phy000D0PQ_SCHPO,31.58
12,0.5997,0-5997_Phy000D0NJ_SCHPO,33.33
11,0.5699,0-5699_Phy000D0W7_SCHPO,25.0
17,0.6429,0-6429_Phy000D0YO_SCHPO,64.29
14,0.4681,0-4681_Phy000D0SO_SCHPO,54.55
11,0.3607,0-3607_Phy000D0Q0_SCHPO,12.5
11,0.7003,0-7003_Phy000D0V4_SCHPO,37.5
17,0.7392,0-7392_Phy000D0LZ_SCHPO,7.14
25,0.5470,0-5470_Phy000D0NG_SCHPO,13.64
24,0.6654,0-6654_Phy000D0NR_SCHPO,38.1
11,0.7371,0-7371_Phy000D0RN_SCHPO,50.0
16,0.3329,0-3329_Phy000D0PY_SCHPO,53.85
20,0.7486,0-7486_Phy000D13P_SCHPO,29.41
12,0.3437,0-3437_Phy000D0PP_SCHPO,22.22
15,0.5565,0-5565_Phy000D0N5_SCHPO,50.0
14,0.2641,0-2641_Phy000D1A6_SCHPO,18.18
11,0.7576,0-7576_Phy000D0YA_SCHPO,100.0
15,0.5324,0-5324_Phy000D0N3_SCHPO,8.33
