size,branch_length,id,RF
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,18.18
19,0.5800,0-5800_Phy0001WOF_BOVIN,18.75
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.0
16,0.2940,0-2940_Phy0001SHY_BOVIN,61.54
14,0.5653,0-5653_Phy00021SM_BOVIN,36.36
16,0.3366,0-3366_Phy0001T1N_BOVIN,84.62
20,0.7272,0-7272_Phy001QA35_BOVIN,23.53
22,0.7416,0-7416_Phy0001XP5_BOVIN,26.32
16,0.4611,0-4611_Phy0001WH2_BOVIN,53.85
16,0.6966,0-6966_Phy00021K1_BOVIN,30.77
11,0.4064,0-4064_Phy0001SXK_BOVIN,50.0
25,0.4163,0-4163_Phy0001U32_BOVIN,31.82
15,0.4632,0-4632_Phy0001US7_BOVIN,25.0
26,0.2876,0-2876_Phy0001SON_BOVIN,26.09
14,0.7586,0-7586_Phy00023HT_BOVIN,27.27
15,0.5016,0-5016_Phy0001UA2_BOVIN,16.67
12,0.5390,0-5390_Phy0001YWE_BOVIN,33.33
16,0.2653,0-2653_Phy0001SSU_BOVIN,30.77
13,0.6783,0-6783_Phy0002A7Z_BOVIN,20.0
13,0.6808,0-6808_Phy001Q8WI_BOVIN,60.0
17,0.3893,0-3893_Phy0001T1M_BOVIN,50.0
19,0.2516,0-2516_Phy0001SS5_BOVIN,50.0
12,0.3560,0-3560_Phy0001SLE_BOVIN,44.44
25,0.3126,0-3126_Phy0001SJ2_BOVIN,45.45
26,0.2659,0-2659_Phy0001SUZ_BOVIN,13.04
20,0.3134,0-3134_Phy0001SQ2_BOVIN,35.29
11,0.5780,0-5780_Phy0001SYE_BOVIN,75.0
17,0.3978,0-3978_Phy0001SKM_BOVIN,14.29
13,0.6122,0-6122_Phy0001UTY_BOVIN,30.0
10,0.3039,0-3039_Phy0001SMM_BOVIN,57.14
