size,branch_length,id,clustering_distance
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.5158551901905073
12,0.5002,0-5002_Phy000D14B_SCHPO,0.639871448552505
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.6282918207310905
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.5309034052256663
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.6273469912293467
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.5458865638240745
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.3648464650548022
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.6095115820963919
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.641234611777766
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.4562530595840658
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.5767297123392816
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.4613655623832432
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.46643713524611086
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.6344331708748685
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.6483788058029099
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.7738946835202222
20,0.7486,0-7486_Phy000D13P_SCHPO,0.5812939722267827
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.4681907609310355
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.6234082841515775
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.3616059371195902
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.8476253965513894
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.4975862279957255
