size,branch_length,id,clustering_distance
28,0.5717,0-5717_Phy008O4V3_PUCGT,0.47790537521891907
19,0.4828,0-4828_Phy008NYXH_PUCGT,0.4814030982858135
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.509825949325915
18,0.2334,0-2334_Phy008O82G_PUCGT,0.4281318758250088
29,0.1870,0-1870_Phy008O0TK_PUCGT,0.48855729382896973
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.5193007408448971
11,0.7606,0-7606_Phy008O65F_PUCGT,0.7253284913663158
30,0.2422,0-2422_Phy008O85K_PUCGT,0.39491019043534004
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.5733179371677499
13,0.1408,0-1408_Phy008O938_PUCGT,0.8567894431426263
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.5733353664658756
31,0.1652,0-1652_Phy008O3QR_PUCGT,0.5095715101324463
12,0.3834,0-3834_Phy008O7GI_PUCGT,0.8320762277750894
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.6741236779004419
10,0.5719,0-5719_Phy008O53D_PUCGT,0.7661899732064887
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.736115118764143
12,0.7111,0-7111_Phy008O623_PUCGT,0.7268583715866275
11,0.3292,0-3292_Phy008O7OF_PUCGT,0.8017356912712171
15,0.2336,0-2336_Phy008O30Z_PUCGT,0.7175569041469536
31,0.2621,0-2621_Phy008O7OW_PUCGT,0.41509241802963126
11,0.1187,0-1187_Phy008NZS8_PUCGT,0.35405486534906494
39,0.5240,0-5240_Phy008O862_PUCGT,0.37740651701253725
38,0.1767,0-1767_Phy008O30H_PUCGT,0.3601065743237606
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.617926793798848
19,0.3511,0-3511_Phy008NZVJ_PUCGT,0.6139139507082467
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.5991694887019059
10,0.2660,0-2660_Phy008O7K1_PUCGT,0.6601311247497589
22,0.3650,0-3650_Phy008O2C9_PUCGT,0.6291286543829966
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.605747508771961
11,0.7643,0-7643_Phy008NYUN_PUCGT,0.7336214866438693
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.8020721479159203
20,0.1976,0-1976_Phy008O6FV_PUCGT,0.5329558415072206
13,0.4876,0-4876_Phy008NZ6D_PUCGT,0.6674178947000935
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.4089835591301817
13,0.6918,0-6918_Phy008O2GX_PUCGT,0.718294391360855
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.4838625911600022
36,0.7447,0-7447_Phy008NZJ8_PUCGT,0.4786862141123427
26,0.5423,0-5423_Phy008O5XS_PUCGT,0.4708353677590441
19,0.1374,0-1374_Phy008O5P7_PUCGT,0.5108598288053909
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.8873278484462003
