size,branch_length,id,clustering_distance
30,0.3195,0-3195_Phy0007XME_HUMAN,0.32887600555232055
40,0.2487,0-2487_Phy0008FYG_HUMAN,0.35826011518300904
17,0.2250,0-2250_Phy0007XGT_HUMAN,0.7603111731965722
29,0.2125,0-2125_Phy0007ZV6_HUMAN,0.33035069016465557
12,0.2074,0-2074_Phy0008CR1_HUMAN,0.8887045521244844
17,0.2823,0-2823_Phy00088LQ_HUMAN,0.4499362882806446
24,0.3630,0-3630_Phy0008IWH_HUMAN,0.43675144937844435
23,0.2801,0-2801_Phy00086HI_HUMAN,0.45380422481983995
36,0.2841,0-2841_Phy000839J_HUMAN,0.2613866154962964
34,0.3537,0-3537_Phy0008HMK_HUMAN,0.32849829770178485
34,0.1835,0-1835_Phy0008G06_HUMAN,0.35531896228057214
16,0.1457,0-1457_Phy0007YUQ_HUMAN,0.6110962516083308
14,0.5280,0-5280_Phy00087KY_HUMAN,0.4666290762543235
36,0.2615,0-2615_Phy0008BM0_HUMAN,0.343331747363408
17,0.2567,0-2567_Phy00081A5_HUMAN,0.6170028937176557
26,0.3237,0-3237_Phy0007XCN_HUMAN,0.34467548109127044
37,0.2140,0-2140_Phy0007YN0_HUMAN,0.4106061339036622
33,0.3055,0-3055_Phy000875B_HUMAN,0.4145362414637892
38,0.3060,0-3060_Phy0007ZNC_HUMAN,0.388371171355556
33,0.3731,0-3731_Phy0008JIM_HUMAN,0.3002567814694651
