size,branch_length,id,clustering_distance
19,0.1374,0-1374_Phy008O5P7_PUCGT,0.4777295136819443
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.49359959114066376
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.5300022896077556
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.37274370502656917
13,0.6918,0-6918_Phy008O2GX_PUCGT,0.3622490150382288
11,0.7606,0-7606_Phy008O65F_PUCGT,0.6345077666305429
10,0.5719,0-5719_Phy008O53D_PUCGT,0.6435311487173317
11,0.7643,0-7643_Phy008NYUN_PUCGT,0.5704044451983112
13,0.1408,0-1408_Phy008O938_PUCGT,0.5215419277857034
10,0.2660,0-2660_Phy008O7K1_PUCGT,0.3671441331672892
20,0.1976,0-1976_Phy008O6FV_PUCGT,0.4267266877500677
12,0.3834,0-3834_Phy008O7GI_PUCGT,0.6243630022764887
18,0.2334,0-2334_Phy008O82G_PUCGT,0.5710898513295034
11,0.1187,0-1187_Phy008NZS8_PUCGT,0.33604497366319186
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.6548385658720568
11,0.3292,0-3292_Phy008O7OF_PUCGT,0.36359920766678744
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.6522188468856758
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.3825224453612428
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.574065122498992
15,0.2336,0-2336_Phy008O30Z_PUCGT,0.579098396584079
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.30778627914275214
13,0.4876,0-4876_Phy008NZ6D_PUCGT,0.7883496623358194
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.47832415980190623
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.3026258243252802
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.47667731221218834
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.4266297441990067
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.27363192359893285
12,0.7111,0-7111_Phy008O623_PUCGT,0.6726260456171318
22,0.3650,0-3650_Phy008O2C9_PUCGT,0.6746373104347868
19,0.4828,0-4828_Phy008NYXH_PUCGT,0.48757417333815956
19,0.3511,0-3511_Phy008NZVJ_PUCGT,0.6399645835920125
