size,branch_length,id,RF
30,0.3195,0-3195_Phy0007XME_HUMAN,18.52
40,0.2487,0-2487_Phy0008FYG_HUMAN,8.11
17,0.2250,0-2250_Phy0007XGT_HUMAN,78.57
29,0.2125,0-2125_Phy0007ZV6_HUMAN,23.08
12,0.2074,0-2074_Phy0008CR1_HUMAN,88.89
17,0.2823,0-2823_Phy00088LQ_HUMAN,28.57
24,0.3630,0-3630_Phy0008IWH_HUMAN,9.52
23,0.2801,0-2801_Phy00086HI_HUMAN,25.0
36,0.2841,0-2841_Phy000839J_HUMAN,21.21
34,0.3537,0-3537_Phy0008HMK_HUMAN,12.9
34,0.1835,0-1835_Phy0008G06_HUMAN,22.58
16,0.1457,0-1457_Phy0007YUQ_HUMAN,46.15
14,0.5280,0-5280_Phy00087KY_HUMAN,36.36
36,0.2615,0-2615_Phy0008BM0_HUMAN,15.15
17,0.2567,0-2567_Phy00081A5_HUMAN,42.86
26,0.3237,0-3237_Phy0007XCN_HUMAN,39.13
37,0.2140,0-2140_Phy0007YN0_HUMAN,11.76
33,0.3055,0-3055_Phy000875B_HUMAN,20.0
38,0.3060,0-3060_Phy0007ZNC_HUMAN,31.43
33,0.3731,0-3731_Phy0008JIM_HUMAN,20.0
