size,branch_length,id,clustering_distance
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.3805348907111672
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.45374309292724624
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.2762419089328517
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.6636684670620644
14,0.5653,0-5653_Phy00021SM_BOVIN,0.6585658769995306
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.7764380384430631
20,0.7272,0-7272_Phy001QA35_BOVIN,0.5268399777173509
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.4214037089069349
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.5945819718365617
16,0.6966,0-6966_Phy00021K1_BOVIN,0.45049084148684004
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.7074148858083008
25,0.4163,0-4163_Phy0001U32_BOVIN,0.4922614871933818
15,0.4632,0-4632_Phy0001US7_BOVIN,0.5513531441899695
26,0.2876,0-2876_Phy0001SON_BOVIN,0.4659501875750296
14,0.7586,0-7586_Phy00023HT_BOVIN,0.5006206509767108
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.47571409237050644
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.43042317966862464
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.6713112882838403
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.4907204956265596
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.7356768829902083
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.5540812853088442
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.6740150479715941
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.5516875401843035
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.5106597668260683
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.6258488254880994
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.536637167001924
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.7587390867433444
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.3526441319235504
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.6032820775047087
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.6381419735518148
