size,branch_length,id,clustering_distance
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.623058786387801
12,0.5002,0-5002_Phy000D14B_SCHPO,0.5725277296396842
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.7235290982823968
28,0.3906,0-3906_Phy000D0SK_SCHPO,0.7067471977595245
30,0.4394,0-4394_Phy000D0SL_SCHPO,0.6987285295125474
33,0.3028,0-3028_Phy000D0XD_SCHPO,0.5279847756880789
39,0.4978,0-4978_Phy000D0YK_SCHPO,0.7018387527093062
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.6711732171049984
27,0.3891,0-3891_Phy000D0SX_SCHPO,0.6639642146738877
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.6618519912049624
35,0.2993,0-2993_Phy000D1TD_SCHPO,0.7587335483705
36,0.4318,0-4318_Phy000D0M2_SCHPO,0.5683098631638199
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.5069375031563099
34,0.2722,0-2722_Phy000D0UI_SCHPO,0.5935506895923475
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.40994607980932074
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.77816886451854
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.9015902591702132
29,0.6040,0-6040_Phy000D0LN_SCHPO,0.6924165791138297
38,0.7080,0-7080_Phy000D0VB_SCHPO,0.6668234806547566
34,0.4494,0-4494_Phy000D0QL_SCHPO,0.6709566657623947
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.516550424629496
40,0.6571,0-6571_Phy000D0VJ_SCHPO,0.7897413948969136
33,0.4987,0-4987_Phy000D115_SCHPO,0.8159005213434531
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.6522188468856757
27,0.3779,0-3779_Phy000D0OG_SCHPO,0.6246841856694967
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.4935769704402787
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.5675943939642065
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.61080574981245
35,0.4331,0-4331_Phy000D0N4_SCHPO,0.6818930312038225
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.7087685531908642
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.7335639083315018
20,0.7486,0-7486_Phy000D13P_SCHPO,0.6896501469410585
32,0.5258,0-5258_Phy000D0MM_SCHPO,0.6344615278917356
31,0.2805,0-2805_Phy000D0YZ_SCHPO,0.6054857434926664
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.6850625566874575
37,0.4593,0-4593_Phy000D17Y_SCHPO,0.7417371671564582
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.8043589895871504
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.5454634707817947
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.794084431882282
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.5637705416343111
