size,branch_length,id,clustering_distance
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.6882473523179289
12,0.5002,0-5002_Phy000D14B_SCHPO,0.6578169077600513
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.36554548301813194
28,0.3906,0-3906_Phy000D0SK_SCHPO,0.40072034906193554
30,0.4394,0-4394_Phy000D0SL_SCHPO,0.33002807177231197
33,0.3028,0-3028_Phy000D0XD_SCHPO,0.2575785271627895
39,0.4978,0-4978_Phy000D0YK_SCHPO,0.335596488262898
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.6910085249279525
27,0.3891,0-3891_Phy000D0SX_SCHPO,0.3520605921653698
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.40163249387844757
35,0.2993,0-2993_Phy000D1TD_SCHPO,0.3132267063528352
36,0.4318,0-4318_Phy000D0M2_SCHPO,0.32409984820064996
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.5566534177913516
34,0.2722,0-2722_Phy000D0UI_SCHPO,0.29596124677560354
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.34394549601340785
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.5925053896291788
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.5558459854095068
29,0.6040,0-6040_Phy000D0LN_SCHPO,0.4569571788753115
38,0.7080,0-7080_Phy000D0VB_SCHPO,0.3246799737292271
34,0.4494,0-4494_Phy000D0QL_SCHPO,0.29777589528752824
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.5361594534742862
40,0.6571,0-6571_Phy000D0VJ_SCHPO,0.39534965072158734
33,0.4987,0-4987_Phy000D115_SCHPO,0.4243341457405304
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.8021218166488706
27,0.3779,0-3779_Phy000D0OG_SCHPO,0.36786426108460735
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.3728182360495569
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.322474351558212
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.31445160747768974
35,0.4331,0-4331_Phy000D0N4_SCHPO,0.33809237583971263
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.6690933151957049
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.5576193134425048
20,0.7486,0-7486_Phy000D13P_SCHPO,0.6301550820233436
32,0.5258,0-5258_Phy000D0MM_SCHPO,0.32935087556761256
31,0.2805,0-2805_Phy000D0YZ_SCHPO,0.2763213646557582
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.5639376325022643
37,0.4593,0-4593_Phy000D17Y_SCHPO,0.2816153592632754
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.6818835166752016
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.5637134379989088
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.794084431882282
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.4568699870025468
