size,branch_length,id,RF
16,0.1457,0-1457_Phy0007YUQ_HUMAN,84.62
34,0.1835,0-1835_Phy0008G06_HUMAN,77.42
12,0.2074,0-2074_Phy0008CR1_HUMAN,100.0
29,0.2125,0-2125_Phy0007ZV6_HUMAN,65.38
37,0.2140,0-2140_Phy0007YN0_HUMAN,70.59
17,0.2250,0-2250_Phy0007XGT_HUMAN,71.43
40,0.2487,0-2487_Phy0008FYG_HUMAN,59.46
17,0.2567,0-2567_Phy00081A5_HUMAN,64.29
36,0.2615,0-2615_Phy0008BM0_HUMAN,66.67
23,0.2801,0-2801_Phy00086HI_HUMAN,50.0
17,0.2823,0-2823_Phy00088LQ_HUMAN,78.57
36,0.2841,0-2841_Phy000839J_HUMAN,66.67
33,0.3055,0-3055_Phy000875B_HUMAN,73.33
38,0.3060,0-3060_Phy0007ZNC_HUMAN,88.57
30,0.3195,0-3195_Phy0007XME_HUMAN,66.67
26,0.3237,0-3237_Phy0007XCN_HUMAN,86.96
34,0.3537,0-3537_Phy0008HMK_HUMAN,67.74
24,0.3630,0-3630_Phy0008IWH_HUMAN,66.67
33,0.3731,0-3731_Phy0008JIM_HUMAN,70.0
14,0.5280,0-5280_Phy00087KY_HUMAN,54.55
