size,branch_length,id,RF
19,0.2516,0-2516_Phy0001SS5_BOVIN,43.75
36,0.2536,0-2536_Phy0001SML_BOVIN,18.18
16,0.2653,0-2653_Phy0001SSU_BOVIN,46.15
26,0.2659,0-2659_Phy0001SUZ_BOVIN,21.74
26,0.2876,0-2876_Phy0001SON_BOVIN,17.39
16,0.2940,0-2940_Phy0001SHY_BOVIN,53.85
10,0.3039,0-3039_Phy0001SMM_BOVIN,57.14
34,0.3081,0-3081_Phy0001STS_BOVIN,32.26
25,0.3126,0-3126_Phy0001SJ2_BOVIN,40.91
20,0.3134,0-3134_Phy0001SQ2_BOVIN,52.94
16,0.3366,0-3366_Phy0001T1N_BOVIN,69.23
12,0.3560,0-3560_Phy0001SLE_BOVIN,44.44
38,0.3653,0-3653_Phy0001SNJ_BOVIN,34.29
17,0.3893,0-3893_Phy0001T1M_BOVIN,42.86
17,0.3978,0-3978_Phy0001SKM_BOVIN,50.0
11,0.4064,0-4064_Phy0001SXK_BOVIN,50.0
25,0.4163,0-4163_Phy0001U32_BOVIN,31.82
36,0.4262,0-4262_Phy0001SY5_BOVIN,21.21
37,0.4597,0-4597_Phy0001SLG_BOVIN,20.59
16,0.4611,0-4611_Phy0001WH2_BOVIN,61.54
15,0.4632,0-4632_Phy0001US7_BOVIN,41.67
15,0.5016,0-5016_Phy0001UA2_BOVIN,33.33
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,18.18
12,0.5390,0-5390_Phy0001YWE_BOVIN,44.44
35,0.5561,0-5561_Phy0001WXP_BOVIN,34.38
14,0.5653,0-5653_Phy00021SM_BOVIN,36.36
11,0.5780,0-5780_Phy0001SYE_BOVIN,75.0
19,0.5800,0-5800_Phy0001WOF_BOVIN,43.75
30,0.5937,0-5937_Phy00026Z0_BOVIN,33.33
13,0.6122,0-6122_Phy0001UTY_BOVIN,60.0
33,0.6264,0-6264_Phy00025XU_BOVIN,26.67
33,0.6440,0-6440_Phy00020HM_BOVIN,13.33
12,0.6610,0-6610_Phy001QA4Q_BOVIN,22.22
13,0.6783,0-6783_Phy0002A7Z_BOVIN,40.0
13,0.6808,0-6808_Phy001Q8WI_BOVIN,60.0
16,0.6966,0-6966_Phy00021K1_BOVIN,46.15
27,0.7179,0-7179_Phy00024CK_BOVIN,41.67
20,0.7272,0-7272_Phy001QA35_BOVIN,41.18
22,0.7416,0-7416_Phy0001XP5_BOVIN,31.58
14,0.7586,0-7586_Phy00023HT_BOVIN,36.36
