size,branch_length,id,RF
28,0.5717,0-5717_Phy008O4V3_PUCGT,4.0
19,0.4828,0-4828_Phy008NYXH_PUCGT,12.5
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.0
18,0.2334,0-2334_Phy008O82G_PUCGT,13.33
29,0.1870,0-1870_Phy008O0TK_PUCGT,11.54
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.0
11,0.7606,0-7606_Phy008O65F_PUCGT,12.5
30,0.2422,0-2422_Phy008O85K_PUCGT,3.7
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.0
13,0.1408,0-1408_Phy008O938_PUCGT,0.0
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.0
31,0.1652,0-1652_Phy008O3QR_PUCGT,3.57
12,0.3834,0-3834_Phy008O7GI_PUCGT,22.22
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.0
10,0.5719,0-5719_Phy008O53D_PUCGT,28.57
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.0
12,0.7111,0-7111_Phy008O623_PUCGT,0.0
11,0.3292,0-3292_Phy008O7OF_PUCGT,25.0
15,0.2336,0-2336_Phy008O30Z_PUCGT,8.33
31,0.2621,0-2621_Phy008O7OW_PUCGT,10.71
11,0.1187,0-1187_Phy008NZS8_PUCGT,25.0
39,0.5240,0-5240_Phy008O862_PUCGT,8.33
38,0.1767,0-1767_Phy008O30H_PUCGT,2.86
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.0
19,0.3511,0-3511_Phy008NZVJ_PUCGT,12.5
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.0
10,0.2660,0-2660_Phy008O7K1_PUCGT,14.29
22,0.3650,0-3650_Phy008O2C9_PUCGT,10.53
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.0
11,0.7643,0-7643_Phy008NYUN_PUCGT,12.5
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.0
20,0.1976,0-1976_Phy008O6FV_PUCGT,17.65
13,0.4876,0-4876_Phy008NZ6D_PUCGT,10.0
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.0
13,0.6918,0-6918_Phy008O2GX_PUCGT,20.0
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.0
36,0.7447,0-7447_Phy008NZJ8_PUCGT,0.0
26,0.5423,0-5423_Phy008O5XS_PUCGT,4.35
19,0.1374,0-1374_Phy008O5P7_PUCGT,18.75
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.0
