size,branch_length,id,clustering_distance
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.4200957473356478
12,0.5002,0-5002_Phy000D14B_SCHPO,0.22444924965061497
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.2241248007788681
28,0.3906,0-3906_Phy000D0SK_SCHPO,0.28769639168433925
30,0.4394,0-4394_Phy000D0SL_SCHPO,0.1907665483355797
33,0.3028,0-3028_Phy000D0XD_SCHPO,0.15625315050209143
39,0.4978,0-4978_Phy000D0YK_SCHPO,0.21561048311832698
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.1497109142708709
27,0.3891,0-3891_Phy000D0SX_SCHPO,0.20099565342591807
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.31559539681601845
35,0.2993,0-2993_Phy000D1TD_SCHPO,0.19413293514172758
36,0.4318,0-4318_Phy000D0M2_SCHPO,0.24641676929192824
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.22860135602923037
34,0.2722,0-2722_Phy000D0UI_SCHPO,0.1678473732128697
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.2979812325128436
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.392094533992689
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.381309985096169
29,0.6040,0-6040_Phy000D0LN_SCHPO,0.269795550457235
38,0.7080,0-7080_Phy000D0VB_SCHPO,0.22661775040693044
34,0.4494,0-4494_Phy000D0QL_SCHPO,0.25597359032576117
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.2954746442444429
40,0.6571,0-6571_Phy000D0VJ_SCHPO,0.23828549077425343
33,0.4987,0-4987_Phy000D115_SCHPO,0.1876138450141126
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.23992367535466008
27,0.3779,0-3779_Phy000D0OG_SCHPO,0.2274236260746263
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.18855283056915018
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.1926861604097876
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.2689632282210417
35,0.4331,0-4331_Phy000D0N4_SCHPO,0.27080730119678853
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.6363662516167001
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.3255715770822776
20,0.7486,0-7486_Phy000D13P_SCHPO,0.2655394195644921
32,0.5258,0-5258_Phy000D0MM_SCHPO,0.18483289713589923
31,0.2805,0-2805_Phy000D0YZ_SCHPO,0.22713774106216278
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.19155991535307093
37,0.4593,0-4593_Phy000D17Y_SCHPO,0.2433561750643911
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.4715231556593821
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.29716301502407916
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.438136016312931
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.43230143219022843
