size,branch_length,id,clustering_distance
19,0.1374,0-1374_Phy008O5P7_PUCGT,0.6031477072599067
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.38159584762828047
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.5764342447652049
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.31622186126367524
13,0.6918,0-6918_Phy008O2GX_PUCGT,0.4643879567091064
11,0.7606,0-7606_Phy008O65F_PUCGT,0.41703485390393047
10,0.5719,0-5719_Phy008O53D_PUCGT,0.7069667993327686
11,0.7643,0-7643_Phy008NYUN_PUCGT,0.6193880055368806
13,0.1408,0-1408_Phy008O938_PUCGT,0.8707638458562672
10,0.2660,0-2660_Phy008O7K1_PUCGT,0.5960749036089189
20,0.1976,0-1976_Phy008O6FV_PUCGT,0.6235847148313101
12,0.3834,0-3834_Phy008O7GI_PUCGT,0.6676942170568338
18,0.2334,0-2334_Phy008O82G_PUCGT,0.49999202956724575
11,0.1187,0-1187_Phy008NZS8_PUCGT,0.4215958014415372
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.632974320882664
11,0.3292,0-3292_Phy008O7OF_PUCGT,0.5600844199263151
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.7458078091790572
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.5688445860121378
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.6482922830873443
15,0.2336,0-2336_Phy008O30Z_PUCGT,0.7732855233725593
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.42393349219306264
13,0.4876,0-4876_Phy008NZ6D_PUCGT,0.7810830168947148
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.49820998131377736
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.3999678514721624
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.6236050673964023
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.43988652058418687
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.5411902389142216
12,0.7111,0-7111_Phy008O623_PUCGT,0.45262243195864393
22,0.3650,0-3650_Phy008O2C9_PUCGT,0.5807964571720807
19,0.4828,0-4828_Phy008NYXH_PUCGT,0.7093901304624213
19,0.3511,0-3511_Phy008NZVJ_PUCGT,0.4887753101717768
