size,branch_length,id,clustering_distance
30,0.3195,0-3195_Phy0007XME_HUMAN,0.20462620384320984
40,0.2487,0-2487_Phy0008FYG_HUMAN,0.1677145154300269
17,0.2250,0-2250_Phy0007XGT_HUMAN,0.38231319595893276
29,0.2125,0-2125_Phy0007ZV6_HUMAN,0.2183392448329915
12,0.2074,0-2074_Phy0008CR1_HUMAN,0.34466401228103605
17,0.2823,0-2823_Phy00088LQ_HUMAN,0.32363396071921346
24,0.3630,0-3630_Phy0008IWH_HUMAN,0.12851033262550104
23,0.2801,0-2801_Phy00086HI_HUMAN,0.1603591863468451
36,0.2841,0-2841_Phy000839J_HUMAN,0.20261215974928248
34,0.3537,0-3537_Phy0008HMK_HUMAN,0.232040724496145
34,0.1835,0-1835_Phy0008G06_HUMAN,0.15383660443933722
16,0.1457,0-1457_Phy0007YUQ_HUMAN,0.3685521862343364
14,0.5280,0-5280_Phy00087KY_HUMAN,0.31858939095243943
36,0.2615,0-2615_Phy0008BM0_HUMAN,0.20900334186299352
17,0.2567,0-2567_Phy00081A5_HUMAN,0.27940968953226675
26,0.3237,0-3237_Phy0007XCN_HUMAN,0.2197873047265123
37,0.2140,0-2140_Phy0007YN0_HUMAN,0.221743068018879
33,0.3055,0-3055_Phy000875B_HUMAN,0.23372022711064677
38,0.3060,0-3060_Phy0007ZNC_HUMAN,0.21875332639534117
33,0.3731,0-3731_Phy0008JIM_HUMAN,0.2375837238186248
