size,branch_length,id,RF
30,0.3195,0-3195_Phy0007XME_HUMAN,62.96
40,0.2487,0-2487_Phy0008FYG_HUMAN,32.43
17,0.2250,0-2250_Phy0007XGT_HUMAN,85.71
29,0.2125,0-2125_Phy0007ZV6_HUMAN,46.15
12,0.2074,0-2074_Phy0008CR1_HUMAN,88.89
17,0.2823,0-2823_Phy00088LQ_HUMAN,50.0
24,0.3630,0-3630_Phy0008IWH_HUMAN,28.57
23,0.2801,0-2801_Phy00086HI_HUMAN,50.0
36,0.2841,0-2841_Phy000839J_HUMAN,39.39
34,0.3537,0-3537_Phy0008HMK_HUMAN,58.06
34,0.1835,0-1835_Phy0008G06_HUMAN,45.16
16,0.1457,0-1457_Phy0007YUQ_HUMAN,76.92
14,0.5280,0-5280_Phy00087KY_HUMAN,27.27
36,0.2615,0-2615_Phy0008BM0_HUMAN,60.61
17,0.2567,0-2567_Phy00081A5_HUMAN,57.14
26,0.3237,0-3237_Phy0007XCN_HUMAN,56.52
37,0.2140,0-2140_Phy0007YN0_HUMAN,41.18
33,0.3055,0-3055_Phy000875B_HUMAN,40.0
38,0.3060,0-3060_Phy0007ZNC_HUMAN,57.14
33,0.3731,0-3731_Phy0008JIM_HUMAN,60.0
