size,branch_length,id,clustering_distance
30,0.3195,0-3195_Phy0007XME_HUMAN,0.2894738106947695
40,0.2487,0-2487_Phy0008FYG_HUMAN,0.2198900584909418
17,0.2250,0-2250_Phy0007XGT_HUMAN,0.3977162734833112
29,0.2125,0-2125_Phy0007ZV6_HUMAN,0.17601695868371148
12,0.2074,0-2074_Phy0008CR1_HUMAN,0.2665215274567212
17,0.2823,0-2823_Phy00088LQ_HUMAN,0.23078033627924832
24,0.3630,0-3630_Phy0008IWH_HUMAN,0.15173104899034562
23,0.2801,0-2801_Phy00086HI_HUMAN,0.29151064538570104
36,0.2841,0-2841_Phy000839J_HUMAN,0.20537169618612605
34,0.3537,0-3537_Phy0008HMK_HUMAN,0.2319464456301411
34,0.1835,0-1835_Phy0008G06_HUMAN,0.3039898889568947
16,0.1457,0-1457_Phy0007YUQ_HUMAN,0.27752379380937364
14,0.5280,0-5280_Phy00087KY_HUMAN,0.29887909467826324
36,0.2615,0-2615_Phy0008BM0_HUMAN,0.20900334186299352
17,0.2567,0-2567_Phy00081A5_HUMAN,0.2017569754294758
26,0.3237,0-3237_Phy0007XCN_HUMAN,0.21971542545531553
37,0.2140,0-2140_Phy0007YN0_HUMAN,0.2764531980361392
33,0.3055,0-3055_Phy000875B_HUMAN,0.2393565164254171
38,0.3060,0-3060_Phy0007ZNC_HUMAN,0.21787936068245617
33,0.3731,0-3731_Phy0008JIM_HUMAN,0.2300144319892673
