size,branch_length,id,clustering_distance
30,0.3195,0-3195_Phy0007XME_HUMAN,0.7384838551954207
40,0.2487,0-2487_Phy0008FYG_HUMAN,0.6045516392196649
17,0.2250,0-2250_Phy0007XGT_HUMAN,0.8843081972668795
29,0.2125,0-2125_Phy0007ZV6_HUMAN,0.6362920172718858
12,0.2074,0-2074_Phy0008CR1_HUMAN,0.8951770750429845
17,0.2823,0-2823_Phy00088LQ_HUMAN,0.6583938826083148
24,0.3630,0-3630_Phy0008IWH_HUMAN,0.5460606658830905
23,0.2801,0-2801_Phy00086HI_HUMAN,0.6383985466821507
36,0.2841,0-2841_Phy000839J_HUMAN,0.6498604003315012
34,0.3537,0-3537_Phy0008HMK_HUMAN,0.7762466195796198
34,0.1835,0-1835_Phy0008G06_HUMAN,0.6236574435220315
16,0.1457,0-1457_Phy0007YUQ_HUMAN,0.8112947425783421
14,0.5280,0-5280_Phy00087KY_HUMAN,0.4466381688723261
36,0.2615,0-2615_Phy0008BM0_HUMAN,0.7003705979714485
17,0.2567,0-2567_Phy00081A5_HUMAN,0.6530894518595798
26,0.3237,0-3237_Phy0007XCN_HUMAN,0.744192423361538
37,0.2140,0-2140_Phy0007YN0_HUMAN,0.6712294544229576
33,0.3055,0-3055_Phy000875B_HUMAN,0.6834022431186287
38,0.3060,0-3060_Phy0007ZNC_HUMAN,0.7898188115071123
33,0.3731,0-3731_Phy0008JIM_HUMAN,0.7458015840329298
