size,branch_length,id,RF
13,0.6283,0-6283_Phy000D0SM_SCHPO,60.0
12,0.5002,0-5002_Phy000D14B_SCHPO,55.56
25,0.4533,0-4533_Phy000D0UP_SCHPO,40.91
28,0.3906,0-3906_Phy000D0SK_SCHPO,28.0
30,0.4394,0-4394_Phy000D0SL_SCHPO,40.74
33,0.3028,0-3028_Phy000D0XD_SCHPO,6.67
39,0.4978,0-4978_Phy000D0YK_SCHPO,22.22
15,0.6213,0-6213_Phy000D0P9_SCHPO,16.67
27,0.3891,0-3891_Phy000D0SX_SCHPO,12.5
22,0.3205,0-3205_Phy000D0PQ_SCHPO,31.58
35,0.2993,0-2993_Phy000D1TD_SCHPO,12.5
36,0.4318,0-4318_Phy000D0M2_SCHPO,24.24
12,0.5997,0-5997_Phy000D0NJ_SCHPO,33.33
34,0.2722,0-2722_Phy000D0UI_SCHPO,6.45
11,0.5699,0-5699_Phy000D0W7_SCHPO,25.0
17,0.6429,0-6429_Phy000D0YO_SCHPO,28.57
14,0.4681,0-4681_Phy000D0SO_SCHPO,81.82
29,0.6040,0-6040_Phy000D0LN_SCHPO,30.77
38,0.7080,0-7080_Phy000D0VB_SCHPO,20.0
34,0.4494,0-4494_Phy000D0QL_SCHPO,6.45
11,0.3607,0-3607_Phy000D0Q0_SCHPO,25.0
40,0.6571,0-6571_Phy000D0VJ_SCHPO,16.22
33,0.4987,0-4987_Phy000D115_SCHPO,30.0
11,0.7003,0-7003_Phy000D0V4_SCHPO,62.5
27,0.3779,0-3779_Phy000D0OG_SCHPO,29.17
17,0.7392,0-7392_Phy000D0LZ_SCHPO,28.57
25,0.5470,0-5470_Phy000D0NG_SCHPO,9.09
24,0.6654,0-6654_Phy000D0NR_SCHPO,38.1
35,0.4331,0-4331_Phy000D0N4_SCHPO,12.5
11,0.7371,0-7371_Phy000D0RN_SCHPO,50.0
16,0.3329,0-3329_Phy000D0PY_SCHPO,53.85
20,0.7486,0-7486_Phy000D13P_SCHPO,41.18
32,0.5258,0-5258_Phy000D0MM_SCHPO,17.24
31,0.2805,0-2805_Phy000D0YZ_SCHPO,17.86
12,0.3437,0-3437_Phy000D0PP_SCHPO,44.44
37,0.4593,0-4593_Phy000D17Y_SCHPO,23.53
15,0.5565,0-5565_Phy000D0N5_SCHPO,41.67
14,0.2641,0-2641_Phy000D1A6_SCHPO,27.27
11,0.7576,0-7576_Phy000D0YA_SCHPO,62.5
15,0.5324,0-5324_Phy000D0N3_SCHPO,16.67
