size,branch_length,id,clustering_distance
30,0.2576,0-2576_Phy0042T98_PENDI,0.8196553689074721
34,0.2645,0-2645_Phy003Q8P2_PENDI,0.7934826210939601
29,0.2712,0-2712_Phy003Q6UV_PENDI,0.772356377785701
28,0.2859,0-2859_Phy003QA9A_PENDI,0.737139939532527
32,0.2912,0-2912_Phy003QBA0_PENDI,0.8132503722746466
25,0.3202,0-3202_Phy003QAL1_PENDI,0.8543900844158796
28,0.3312,0-3312_Phy003Q83V_PENDI,0.8393014559857949
29,0.3552,0-3552_Phy0042SL3_PENDI,0.9229994987220264
21,0.3611,0-3611_Phy003QBO6_PENDI,0.7008603504336304
14,0.3995,0-3995_Phy0045P6V_PENDI,0.8162414747279743
28,0.4062,0-4062_Phy0042T5Q_PENDI,0.8609601269249957
15,0.4122,0-4122_Phy003QCB4_PENDI,0.8154602692885342
14,0.4151,0-4151_Phy003QBS4_PENDI,0.9166725280691844
29,0.4226,0-4226_Phy0042T4N_PENDI,0.7970375109025533
23,0.4502,0-4502_Phy003Q8L5_PENDI,0.8732128423670779
30,0.4642,0-4642_Phy0048AWY_PENDI,0.8735021795351601
24,0.4843,0-4843_Phy0042UCY_PENDI,0.697240495480559
10,0.4916,0-4916_Phy003QAXZ_PENDI,1.0
32,0.5077,0-5077_Phy0042U2P_PENDI,0.7301280960833408
30,0.5266,0-5266_Phy0045PS5_PENDI,0.8242970157564692
34,0.5453,0-5453_Phy003VNLF_PENDI,0.7090705610056695
15,0.5716,0-5716_Phy003Q70T_PENDI,0.7716204391888413
13,0.5765,0-5765_Phy003VMGE_PENDI,0.40754201978845894
17,0.5979,0-5979_Phy003QCG6_PENDI,0.7039177869199373
10,0.6024,0-6024_Phy003Q9QV_PENDI,0.7294526292071284
15,0.6047,0-6047_Phy003QCEL_PENDI,0.9169407352632855
11,0.6190,0-6190_Phy0042S18_PENDI,1.0
16,0.6225,0-6225_Phy003VMDX_PENDI,0.8520312920785009
30,0.6364,0-6364_Phy0045Q6A_PENDI,0.7653720168436116
23,0.6467,0-6467_Phy0048AN8_PENDI,0.5980579357959614
27,0.6482,0-6482_Phy0042TO8_PENDI,0.8914106986928277
15,0.6648,0-6648_Phy003Q9Y1_PENDI,1.0
32,0.6693,0-6693_Phy0042SPT_PENDI,0.7291207138828533
11,0.6820,0-6820_Phy003QA8L_PENDI,0.7634639300763862
16,0.6862,0-6862_Phy0048AW7_PENDI,0.8517483411519361
34,0.7173,0-7173_Phy003QAVC_PENDI,0.7330931697716081
14,0.7240,0-7240_Phy003Q83Q_PENDI,0.7521570833925746
13,0.7427,0-7427_Phy0042UBM_PENDI,0.8327655140118849
12,0.7519,0-7519_Phy003Q9MR_PENDI,0.6229915020047341
13,0.7599,0-7599_Phy003VMY1_PENDI,0.9151744473777338
