size,branch_length,id,clustering_distance
16,0.1457,0-1457_Phy0007YUQ_HUMAN,0.8112947425783431
34,0.1835,0-1835_Phy0008G06_HUMAN,0.5568866007278188
12,0.2074,0-2074_Phy0008CR1_HUMAN,0.8951770750429846
29,0.2125,0-2125_Phy0007ZV6_HUMAN,0.5611760703390418
37,0.2140,0-2140_Phy0007YN0_HUMAN,0.6216813288583893
17,0.2250,0-2250_Phy0007XGT_HUMAN,0.9229001406387337
40,0.2487,0-2487_Phy0008FYG_HUMAN,0.5161621208927822
17,0.2567,0-2567_Phy00081A5_HUMAN,0.6530894518595809
36,0.2615,0-2615_Phy0008BM0_HUMAN,0.6501391471621302
23,0.2801,0-2801_Phy00086HI_HUMAN,0.6329124304777727
17,0.2823,0-2823_Phy00088LQ_HUMAN,0.5427003857910733
36,0.2841,0-2841_Phy000839J_HUMAN,0.5493820863768677
33,0.3055,0-3055_Phy000875B_HUMAN,0.6788783922683068
38,0.3060,0-3060_Phy0007ZNC_HUMAN,0.660196088323385
30,0.3195,0-3195_Phy0007XME_HUMAN,0.6811296486428449
26,0.3237,0-3237_Phy0007XCN_HUMAN,0.6789631544676389
34,0.3537,0-3537_Phy0008HMK_HUMAN,0.6086682464429358
24,0.3630,0-3630_Phy0008IWH_HUMAN,0.5905284593459195
33,0.3731,0-3731_Phy0008JIM_HUMAN,0.6106779474478395
14,0.5280,0-5280_Phy00087KY_HUMAN,0.4710499402462164
