size,branch_length,id,clustering_distance
30,0.3195,0-3195_Phy0007XME_HUMAN,0.4358818624755896
40,0.2487,0-2487_Phy0008FYG_HUMAN,0.33722871659863707
17,0.2250,0-2250_Phy0007XGT_HUMAN,0.8388403871600316
29,0.2125,0-2125_Phy0007ZV6_HUMAN,0.48308841414640924
12,0.2074,0-2074_Phy0008CR1_HUMAN,0.8951770750429845
17,0.2823,0-2823_Phy00088LQ_HUMAN,0.5626731903148556
24,0.3630,0-3630_Phy0008IWH_HUMAN,0.3659128027311952
23,0.2801,0-2801_Phy00086HI_HUMAN,0.5104321021341409
36,0.2841,0-2841_Phy000839J_HUMAN,0.457433640471846
34,0.3537,0-3537_Phy0008HMK_HUMAN,0.4256043100756658
34,0.1835,0-1835_Phy0008G06_HUMAN,0.43641761030897486
16,0.1457,0-1457_Phy0007YUQ_HUMAN,0.6126628529718133
14,0.5280,0-5280_Phy00087KY_HUMAN,0.5050343162918951
36,0.2615,0-2615_Phy0008BM0_HUMAN,0.3548524647426152
17,0.2567,0-2567_Phy00081A5_HUMAN,0.5924609744909715
26,0.3237,0-3237_Phy0007XCN_HUMAN,0.6008137041690678
37,0.2140,0-2140_Phy0007YN0_HUMAN,0.4139274124592679
33,0.3055,0-3055_Phy000875B_HUMAN,0.392964670071152
38,0.3060,0-3060_Phy0007ZNC_HUMAN,0.49906896873733286
33,0.3731,0-3731_Phy0008JIM_HUMAN,0.388408981398339
