size,branch_length,id,clustering_distance
23,0.6467,0-6467_Phy0048AN8_PENDI,0.3880644839011719
30,0.2576,0-2576_Phy0042T98_PENDI,0.4000753243585774
17,0.5979,0-5979_Phy003QCG6_PENDI,0.5424108828763261
34,0.5453,0-5453_Phy003VNLF_PENDI,0.41227489073837575
21,0.3611,0-3611_Phy003QBO6_PENDI,0.589076365982445
30,0.6364,0-6364_Phy0045Q6A_PENDI,0.441645864801571
10,0.6024,0-6024_Phy003Q9QV_PENDI,0.7294526292071273
24,0.4843,0-4843_Phy0042UCY_PENDI,0.4641878999392084
23,0.4502,0-4502_Phy003Q8L5_PENDI,0.5217370674808341
15,0.6047,0-6047_Phy003QCEL_PENDI,0.725753927588488
34,0.2645,0-2645_Phy003Q8P2_PENDI,0.46461457632345204
16,0.6862,0-6862_Phy0048AW7_PENDI,0.7314955327915269
28,0.3312,0-3312_Phy003Q83V_PENDI,0.43307770944447754
29,0.2712,0-2712_Phy003Q6UV_PENDI,0.39759338177438897
29,0.3552,0-3552_Phy0042SL3_PENDI,0.5280715090431767
13,0.7599,0-7599_Phy003VMY1_PENDI,0.6134918633042836
32,0.2912,0-2912_Phy003QBA0_PENDI,0.42703255306229737
34,0.7173,0-7173_Phy003QAVC_PENDI,0.4075047547439622
13,0.7427,0-7427_Phy0042UBM_PENDI,0.6203198552051188
15,0.5716,0-5716_Phy003Q70T_PENDI,0.7033629482831487
32,0.6693,0-6693_Phy0042SPT_PENDI,0.3897691361418454
27,0.6482,0-6482_Phy0042TO8_PENDI,0.4039289947863306
14,0.3995,0-3995_Phy0045P6V_PENDI,0.5996890013587339
15,0.6648,0-6648_Phy003Q9Y1_PENDI,0.7258093195405213
13,0.5765,0-5765_Phy003VMGE_PENDI,0.4575922421222186
14,0.4151,0-4151_Phy003QBS4_PENDI,0.8299977449123713
28,0.2859,0-2859_Phy003QA9A_PENDI,0.45245207061905857
16,0.6225,0-6225_Phy003VMDX_PENDI,0.6033846042309261
25,0.3202,0-3202_Phy003QAL1_PENDI,0.47797456179398456
10,0.4916,0-4916_Phy003QAXZ_PENDI,0.7772865082675695
11,0.6190,0-6190_Phy0042S18_PENDI,0.8293177492885184
14,0.7240,0-7240_Phy003Q83Q_PENDI,0.6553198212295395
15,0.4122,0-4122_Phy003QCB4_PENDI,0.6390074453824579
29,0.4226,0-4226_Phy0042T4N_PENDI,0.3980189253695102
30,0.4642,0-4642_Phy0048AWY_PENDI,0.5368877793763773
12,0.7519,0-7519_Phy003Q9MR_PENDI,0.4830867282836845
32,0.5077,0-5077_Phy0042U2P_PENDI,0.37805987880873093
11,0.6820,0-6820_Phy003QA8L_PENDI,0.7082275281353392
28,0.4062,0-4062_Phy0042T5Q_PENDI,0.4707249738669691
30,0.5266,0-5266_Phy0045PS5_PENDI,0.3837319826693045
