size,branch_length,id,clustering_distance
19,0.4828,0-4828_Phy008NYXH_PUCGT,0.6955009325615167
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.4758761205287182
18,0.2334,0-2334_Phy008O82G_PUCGT,0.6210575740495696
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.4072006097312978
11,0.7606,0-7606_Phy008O65F_PUCGT,0.5320258017549226
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.5828456286418886
13,0.1408,0-1408_Phy008O938_PUCGT,0.8399957747079672
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.5733353664658756
12,0.3834,0-3834_Phy008O7GI_PUCGT,0.5934297606197833
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.4175293246315386
10,0.5719,0-5719_Phy008O53D_PUCGT,0.7754951804803838
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.4532366345887112
12,0.7111,0-7111_Phy008O623_PUCGT,0.749782942293951
11,0.3292,0-3292_Phy008O7OF_PUCGT,0.6363282352900321
15,0.2336,0-2336_Phy008O30Z_PUCGT,0.755412996762863
11,0.1187,0-1187_Phy008NZS8_PUCGT,0.36113208281038645
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.39639537562918636
19,0.3511,0-3511_Phy008NZVJ_PUCGT,0.6122823592028221
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.5510963002041029
10,0.2660,0-2660_Phy008O7K1_PUCGT,0.6582552949946265
22,0.3650,0-3650_Phy008O2C9_PUCGT,0.6367043883545468
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.6766734726702452
11,0.7643,0-7643_Phy008NYUN_PUCGT,0.7428458922506281
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.6709491741517875
20,0.1976,0-1976_Phy008O6FV_PUCGT,0.6537743695042719
13,0.4876,0-4876_Phy008NZ6D_PUCGT,0.8311703205998372
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.41325825032021535
13,0.6918,0-6918_Phy008O2GX_PUCGT,0.5635012543042444
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.5208046201015806
19,0.1374,0-1374_Phy008O5P7_PUCGT,0.4678453884705207
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.6683482584852162
