size,branch_length,id,clustering_distance
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.842072717005666
36,0.2536,0-2536_Phy0001SML_BOVIN,0.7628273109406994
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.7371025368998796
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.7968856728710003
26,0.2876,0-2876_Phy0001SON_BOVIN,0.7001944419402187
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.6832723624090121
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.5882600414719602
34,0.3081,0-3081_Phy0001STS_BOVIN,0.6984459916780774
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.7726683033011269
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.6442077822270729
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.9171667888821478
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.7791106555927485
38,0.3653,0-3653_Phy0001SNJ_BOVIN,0.6748040639521882
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.631692553259914
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.5939073411853304
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.7577585207004394
25,0.4163,0-4163_Phy0001U32_BOVIN,0.6264462093010347
36,0.4262,0-4262_Phy0001SY5_BOVIN,0.6616925010332009
37,0.4597,0-4597_Phy0001SLG_BOVIN,0.7419035665718292
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.7851341848389487
15,0.4632,0-4632_Phy0001US7_BOVIN,0.6247881063158458
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.5806538361996887
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.39448739623470397
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.6693043491885489
35,0.5561,0-5561_Phy0001WXP_BOVIN,0.6534825933509935
14,0.5653,0-5653_Phy00021SM_BOVIN,0.619321543774495
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.7587390867433447
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.5539366706580416
30,0.5937,0-5937_Phy00026Z0_BOVIN,0.8107533363531906
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.6842788746898731
33,0.6264,0-6264_Phy00025XU_BOVIN,0.7226926585056979
33,0.6440,0-6440_Phy00020HM_BOVIN,0.46923319171776645
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.4370186003151826
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.5375761107684303
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.8107014028292926
16,0.6966,0-6966_Phy00021K1_BOVIN,0.5327302637479244
27,0.7179,0-7179_Phy00024CK_BOVIN,0.8131218626564272
20,0.7272,0-7272_Phy001QA35_BOVIN,0.5559306217691219
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.5214283561300622
14,0.7586,0-7586_Phy00023HT_BOVIN,0.697474723084377
