size,branch_length,id,RF
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,18.18
19,0.5800,0-5800_Phy0001WOF_BOVIN,6.25
12,0.6610,0-6610_Phy001QA4Q_BOVIN,22.22
33,0.6264,0-6264_Phy00025XU_BOVIN,3.33
16,0.2940,0-2940_Phy0001SHY_BOVIN,7.69
14,0.5653,0-5653_Phy00021SM_BOVIN,0.0
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.0
20,0.7272,0-7272_Phy001QA35_BOVIN,5.88
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.0
16,0.4611,0-4611_Phy0001WH2_BOVIN,23.08
16,0.6966,0-6966_Phy00021K1_BOVIN,15.38
30,0.5937,0-5937_Phy00026Z0_BOVIN,3.7
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.0
25,0.4163,0-4163_Phy0001U32_BOVIN,9.09
38,0.3653,0-3653_Phy0001SNJ_BOVIN,2.86
15,0.4632,0-4632_Phy0001US7_BOVIN,0.0
27,0.7179,0-7179_Phy00024CK_BOVIN,0.0
26,0.2876,0-2876_Phy0001SON_BOVIN,0.0
14,0.7586,0-7586_Phy00023HT_BOVIN,9.09
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.0
35,0.5561,0-5561_Phy0001WXP_BOVIN,9.38
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.0
16,0.2653,0-2653_Phy0001SSU_BOVIN,7.69
13,0.6783,0-6783_Phy0002A7Z_BOVIN,20.0
36,0.4262,0-4262_Phy0001SY5_BOVIN,0.0
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.0
33,0.6440,0-6440_Phy00020HM_BOVIN,6.67
34,0.3081,0-3081_Phy0001STS_BOVIN,3.23
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.0
19,0.2516,0-2516_Phy0001SS5_BOVIN,6.25
12,0.3560,0-3560_Phy0001SLE_BOVIN,11.11
37,0.4597,0-4597_Phy0001SLG_BOVIN,0.0
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.0
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.0
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.0
11,0.5780,0-5780_Phy0001SYE_BOVIN,25.0
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.0
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.0
36,0.2536,0-2536_Phy0001SML_BOVIN,6.06
10,0.3039,0-3039_Phy0001SMM_BOVIN,28.57
