size,branch_length,id,clustering_distance
23,0.6467,0-6467_Phy0048AN8_PENDI,0.286624683585034
17,0.5979,0-5979_Phy003QCG6_PENDI,0.5116157966093426
21,0.3611,0-3611_Phy003QBO6_PENDI,0.4923783258422585
10,0.6024,0-6024_Phy003Q9QV_PENDI,0.6403833064873006
24,0.4843,0-4843_Phy0042UCY_PENDI,0.5596320879231874
23,0.4502,0-4502_Phy003Q8L5_PENDI,0.6360352013961886
15,0.6047,0-6047_Phy003QCEL_PENDI,0.8442582439557139
16,0.6862,0-6862_Phy0048AW7_PENDI,0.8193832325014359
13,0.7599,0-7599_Phy003VMY1_PENDI,0.874603149307643
13,0.7427,0-7427_Phy0042UBM_PENDI,0.7472674258858784
15,0.5716,0-5716_Phy003Q70T_PENDI,0.7231507110254602
14,0.3995,0-3995_Phy0045P6V_PENDI,0.6053769550686525
15,0.6648,0-6648_Phy003Q9Y1_PENDI,0.8595489930226166
13,0.5765,0-5765_Phy003VMGE_PENDI,0.350056559884077
14,0.4151,0-4151_Phy003QBS4_PENDI,0.9090559324906234
16,0.6225,0-6225_Phy003VMDX_PENDI,0.6678182853678352
25,0.3202,0-3202_Phy003QAL1_PENDI,0.5952935472575963
10,0.4916,0-4916_Phy003QAXZ_PENDI,0.5799370692905176
11,0.6190,0-6190_Phy0042S18_PENDI,0.7990986646754398
14,0.7240,0-7240_Phy003Q83Q_PENDI,0.6743714435966048
15,0.4122,0-4122_Phy003QCB4_PENDI,0.5898329163043554
12,0.7519,0-7519_Phy003Q9MR_PENDI,0.3539786307181777
11,0.6820,0-6820_Phy003QA8L_PENDI,0.6533218572839941
