size,branch_length,id,RF
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,9.09
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.0
12,0.6610,0-6610_Phy001QA4Q_BOVIN,33.33
16,0.2940,0-2940_Phy0001SHY_BOVIN,30.77
14,0.5653,0-5653_Phy00021SM_BOVIN,0.0
16,0.3366,0-3366_Phy0001T1N_BOVIN,7.69
20,0.7272,0-7272_Phy001QA35_BOVIN,0.0
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.0
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.0
16,0.6966,0-6966_Phy00021K1_BOVIN,0.0
11,0.4064,0-4064_Phy0001SXK_BOVIN,37.5
25,0.4163,0-4163_Phy0001U32_BOVIN,0.0
15,0.4632,0-4632_Phy0001US7_BOVIN,16.67
14,0.7586,0-7586_Phy00023HT_BOVIN,0.0
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.0
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.0
16,0.2653,0-2653_Phy0001SSU_BOVIN,15.38
13,0.6783,0-6783_Phy0002A7Z_BOVIN,10.0
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.0
17,0.3893,0-3893_Phy0001T1M_BOVIN,7.14
19,0.2516,0-2516_Phy0001SS5_BOVIN,12.5
12,0.3560,0-3560_Phy0001SLE_BOVIN,11.11
25,0.3126,0-3126_Phy0001SJ2_BOVIN,4.55
20,0.3134,0-3134_Phy0001SQ2_BOVIN,11.76
11,0.5780,0-5780_Phy0001SYE_BOVIN,37.5
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.0
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.0
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.0
