size,branch_length,id,clustering_distance
30,0.2576,0-2576_Phy0042T98_PENDI,0.6150696636700956
34,0.2645,0-2645_Phy003Q8P2_PENDI,0.5897451751222726
29,0.2712,0-2712_Phy003Q6UV_PENDI,0.5042897943367867
28,0.2859,0-2859_Phy003QA9A_PENDI,0.6548869104320628
32,0.2912,0-2912_Phy003QBA0_PENDI,0.5399430373959175
25,0.3202,0-3202_Phy003QAL1_PENDI,0.6637741658412459
28,0.3312,0-3312_Phy003Q83V_PENDI,0.6688385109700019
29,0.3552,0-3552_Phy0042SL3_PENDI,0.6580736284282789
21,0.3611,0-3611_Phy003QBO6_PENDI,0.6659791868048084
14,0.3995,0-3995_Phy0045P6V_PENDI,0.847972259632841
28,0.4062,0-4062_Phy0042T5Q_PENDI,0.689724037077341
15,0.4122,0-4122_Phy003QCB4_PENDI,0.6648976412756638
14,0.4151,0-4151_Phy003QBS4_PENDI,0.8299977449123721
29,0.4226,0-4226_Phy0042T4N_PENDI,0.5863419684554321
23,0.4502,0-4502_Phy003Q8L5_PENDI,0.5559563735885427
30,0.4642,0-4642_Phy0048AWY_PENDI,0.5475803528230399
24,0.4843,0-4843_Phy0042UCY_PENDI,0.6489742893388883
10,0.4916,0-4916_Phy003QAXZ_PENDI,1.0
32,0.5077,0-5077_Phy0042U2P_PENDI,0.539611838822138
30,0.5266,0-5266_Phy0045PS5_PENDI,0.6801533563655805
34,0.5453,0-5453_Phy003VNLF_PENDI,0.666202211449743
15,0.5716,0-5716_Phy003Q70T_PENDI,0.8472811337634839
13,0.5765,0-5765_Phy003VMGE_PENDI,0.4575922421222196
17,0.5979,0-5979_Phy003QCG6_PENDI,0.4990114678017451
10,0.6024,0-6024_Phy003Q9QV_PENDI,0.7294526292071284
15,0.6047,0-6047_Phy003QCEL_PENDI,0.7409451098438228
11,0.6190,0-6190_Phy0042S18_PENDI,0.8293177492885186
16,0.6225,0-6225_Phy003VMDX_PENDI,0.8151491678299373
30,0.6364,0-6364_Phy0045Q6A_PENDI,0.5926227661888841
23,0.6467,0-6467_Phy0048AN8_PENDI,0.37398045147000625
27,0.6482,0-6482_Phy0042TO8_PENDI,0.6063224522779039
15,0.6648,0-6648_Phy003Q9Y1_PENDI,0.9392453530687784
32,0.6693,0-6693_Phy0042SPT_PENDI,0.5727614086927062
11,0.6820,0-6820_Phy003QA8L_PENDI,0.7592226512147107
16,0.6862,0-6862_Phy0048AW7_PENDI,0.8162633032129177
34,0.7173,0-7173_Phy003QAVC_PENDI,0.5190722512541004
14,0.7240,0-7240_Phy003Q83Q_PENDI,0.7383998940796802
13,0.7427,0-7427_Phy0042UBM_PENDI,0.7144662353713052
12,0.7519,0-7519_Phy003Q9MR_PENDI,0.4676897654553689
13,0.7599,0-7599_Phy003VMY1_PENDI,0.8198892402109025
