size,branch_length,id,clustering_distance
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.43341301678931576
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.5265800830008627
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.3748224035851583
33,0.6264,0-6264_Phy00025XU_BOVIN,0.4277487342957649
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.4814625507488376
14,0.5653,0-5653_Phy00021SM_BOVIN,0.5988258065705088
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.6755351278016922
20,0.7272,0-7272_Phy001QA35_BOVIN,0.502112408036105
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.45710032548751167
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.6019266874052809
16,0.6966,0-6966_Phy00021K1_BOVIN,0.4089309122993675
30,0.5937,0-5937_Phy00026Z0_BOVIN,0.3960789874073376
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.7433808886622228
25,0.4163,0-4163_Phy0001U32_BOVIN,0.3811346277927844
38,0.3653,0-3653_Phy0001SNJ_BOVIN,0.3897190439654896
15,0.4632,0-4632_Phy0001US7_BOVIN,0.5855354849393124
27,0.7179,0-7179_Phy00024CK_BOVIN,0.4649973451927909
26,0.2876,0-2876_Phy0001SON_BOVIN,0.46238542457969567
14,0.7586,0-7586_Phy00023HT_BOVIN,0.49975214325827255
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.5078292098397208
35,0.5561,0-5561_Phy0001WXP_BOVIN,0.33099980616863545
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.5115305490112132
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.6354945214765075
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.49286674271885167
36,0.4262,0-4262_Phy0001SY5_BOVIN,0.35320640247194846
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.6889061992398381
33,0.6440,0-6440_Phy00020HM_BOVIN,0.3009095860520511
34,0.3081,0-3081_Phy0001STS_BOVIN,0.3824114427784079
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.5074312741525311
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.6037011649931403
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.5770765992341277
37,0.4597,0-4597_Phy0001SLG_BOVIN,0.3226679254428536
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.5353118649666561
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.38754533596152396
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.49141103128289754
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.8619566913738594
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.5912461039998785
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.6080704618692282
36,0.2536,0-2536_Phy0001SML_BOVIN,0.4205921042071422
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.5126812530405167
