size,branch_length,id,clustering_distance
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.6821459424587812
12,0.5002,0-5002_Phy000D14B_SCHPO,0.7303331205062333
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.6029373885917231
28,0.3906,0-3906_Phy000D0SK_SCHPO,0.46946467055793994
30,0.4394,0-4394_Phy000D0SL_SCHPO,0.5680079728655681
33,0.3028,0-3028_Phy000D0XD_SCHPO,0.3279427562566548
39,0.4978,0-4978_Phy000D0YK_SCHPO,0.4211040984134693
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.47251733804349205
27,0.3891,0-3891_Phy000D0SX_SCHPO,0.35999728358781335
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.5314832124031861
35,0.2993,0-2993_Phy000D1TD_SCHPO,0.3408227433579132
36,0.4318,0-4318_Phy000D0M2_SCHPO,0.44054270276083984
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.4594645946319761
34,0.2722,0-2722_Phy000D0UI_SCHPO,0.3283523106560384
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.40994607980932074
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.47859226360584217
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.8554134589965205
29,0.6040,0-6040_Phy000D0LN_SCHPO,0.4650717305730838
38,0.7080,0-7080_Phy000D0VB_SCHPO,0.3619424184581813
34,0.4494,0-4494_Phy000D0QL_SCHPO,0.3703971086921992
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.4703283665221366
40,0.6571,0-6571_Phy000D0VJ_SCHPO,0.36645365366821736
33,0.4987,0-4987_Phy000D115_SCHPO,0.4454677751814765
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.7111042322527042
27,0.3779,0-3779_Phy000D0OG_SCHPO,0.44265596186382616
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.5473180206461222
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.3568592723509929
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.5830973805283522
35,0.4331,0-4331_Phy000D0N4_SCHPO,0.4069267103184506
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.6965495193370497
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.6944535122619755
20,0.7486,0-7486_Phy000D13P_SCHPO,0.5880682373752482
32,0.5258,0-5258_Phy000D0MM_SCHPO,0.3678562090242061
31,0.2805,0-2805_Phy000D0YZ_SCHPO,0.4745952366162317
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.5972238025357813
37,0.4593,0-4593_Phy000D17Y_SCHPO,0.38541790464347414
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.5593052577099067
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.506695379712111
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.7121113841621413
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.5079869313155168
