size,branch_length,id,clustering_distance
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.3844309079655971
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.4563922765799867
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.44544505515870114
33,0.6264,0-6264_Phy00025XU_BOVIN,0.36401933724520863
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.6504587459066988
14,0.5653,0-5653_Phy00021SM_BOVIN,0.5643451477524295
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.6853952385870372
20,0.7272,0-7272_Phy001QA35_BOVIN,0.37108710684464463
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.40280212736872967
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.6535739980024
16,0.6966,0-6966_Phy00021K1_BOVIN,0.48314165378787777
30,0.5937,0-5937_Phy00026Z0_BOVIN,0.3180824986174261
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.6428418631064245
25,0.4163,0-4163_Phy0001U32_BOVIN,0.36383370865441633
38,0.3653,0-3653_Phy0001SNJ_BOVIN,0.4143437673154384
15,0.4632,0-4632_Phy0001US7_BOVIN,0.5413766382094831
27,0.7179,0-7179_Phy00024CK_BOVIN,0.4307789455010418
26,0.2876,0-2876_Phy0001SON_BOVIN,0.42056321783256034
14,0.7586,0-7586_Phy00023HT_BOVIN,0.4845703649419122
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.5352269056266881
35,0.5561,0-5561_Phy0001WXP_BOVIN,0.30259857828584424
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.4516190773428065
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.5398590135522159
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.5052240933204284
36,0.4262,0-4262_Phy0001SY5_BOVIN,0.31734003511667264
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.7746091136128387
33,0.6440,0-6440_Phy00020HM_BOVIN,0.22003924932309282
34,0.3081,0-3081_Phy0001STS_BOVIN,0.3656991986233644
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.58252340704376
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.5939397106573044
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.5770765992341277
37,0.4597,0-4597_Phy0001SLG_BOVIN,0.3719508536724071
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.49555535507657833
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.44854926724746036
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.4871147016186358
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.7587390867433444
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.5351134245014473
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.6905700224804436
36,0.2536,0-2536_Phy0001SML_BOVIN,0.4976818427365699
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.6381419735518148
