size,branch_length,id,clustering_distance
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.5860501573091202
34,0.2722,0-2722_Phy000D0UI_SCHPO,0.555034968899932
31,0.2805,0-2805_Phy000D0YZ_SCHPO,0.5889094558257495
35,0.2993,0-2993_Phy000D1TD_SCHPO,0.6881480402344813
33,0.3028,0-3028_Phy000D0XD_SCHPO,0.6009409982724069
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.5140635371819554
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.5875243134687878
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.5688231327238258
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.4786776189933495
27,0.3779,0-3779_Phy000D0OG_SCHPO,0.551657189634386
27,0.3891,0-3891_Phy000D0SX_SCHPO,0.6025666225566162
28,0.3906,0-3906_Phy000D0SK_SCHPO,0.5930346563075128
36,0.4318,0-4318_Phy000D0M2_SCHPO,0.5263712563204519
35,0.4331,0-4331_Phy000D0N4_SCHPO,0.6080452722321676
30,0.4394,0-4394_Phy000D0SL_SCHPO,0.6517679782413587
34,0.4494,0-4494_Phy000D0QL_SCHPO,0.6212581977931522
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.5986088911270554
37,0.4593,0-4593_Phy000D17Y_SCHPO,0.6566557237650568
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.9015902591702133
39,0.4978,0-4978_Phy000D0YK_SCHPO,0.5646341324540551
33,0.4987,0-4987_Phy000D115_SCHPO,0.6493579599853911
12,0.5002,0-5002_Phy000D14B_SCHPO,0.5004194616590327
32,0.5258,0-5258_Phy000D0MM_SCHPO,0.4895620232984135
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.5429611982153977
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.46067701472257494
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.8694526475034539
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.40994607980932163
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.5579930184926933
29,0.6040,0-6040_Phy000D0LN_SCHPO,0.7282650149326739
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.7010452028267119
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.5547572535608578
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.5569858513285687
40,0.6571,0-6571_Phy000D0VJ_SCHPO,0.6726744849115651
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.4999780370946215
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.6522188468856761
38,0.7080,0-7080_Phy000D0VB_SCHPO,0.6245161217030915
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.7087685531908647
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.4733548188719914
20,0.7486,0-7486_Phy000D13P_SCHPO,0.5820598512041868
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.8586820232182226
