size,branch_length,id,clustering_distance
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.4150002027034184
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.5920558093706187
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.5223572202338178
33,0.6264,0-6264_Phy00025XU_BOVIN,0.6679819769807623
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.6504587459066988
14,0.5653,0-5653_Phy00021SM_BOVIN,0.6421893660730562
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.8143414937059764
20,0.7272,0-7272_Phy001QA35_BOVIN,0.5387573160605212
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.518228191744126
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.7347496030859322
16,0.6966,0-6966_Phy00021K1_BOVIN,0.6506014176890176
30,0.5937,0-5937_Phy00026Z0_BOVIN,0.7440686446494371
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.6428418631064245
25,0.4163,0-4163_Phy0001U32_BOVIN,0.6420110975773816
38,0.3653,0-3653_Phy0001SNJ_BOVIN,0.6346764543775991
15,0.4632,0-4632_Phy0001US7_BOVIN,0.6644391131084587
27,0.7179,0-7179_Phy00024CK_BOVIN,0.7519143670621085
26,0.2876,0-2876_Phy0001SON_BOVIN,0.7024710703175614
14,0.7586,0-7586_Phy00023HT_BOVIN,0.5956111167760453
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.5352269056266881
35,0.5561,0-5561_Phy0001WXP_BOVIN,0.6026869211732202
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.539700904253215
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.7129767643478284
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.5108177459683091
36,0.4262,0-4262_Phy0001SY5_BOVIN,0.5807292187218914
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.7356768829902083
33,0.6440,0-6440_Phy00020HM_BOVIN,0.4536113820597548
34,0.3081,0-3081_Phy0001STS_BOVIN,0.670960090143913
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.5920553324604145
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.870171187361805
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.6726269932493154
37,0.4597,0-4597_Phy0001SLG_BOVIN,0.6668815696804736
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.7240487752721628
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.6828799578103266
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.6622751047633672
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.7587390867433444
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.6922812015194063
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.7597072156194408
36,0.2536,0-2536_Phy0001SML_BOVIN,0.7103774098369142
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.6381419735518148
